,id,time,text,image_link,image_flag,video_link,video_flag,products,product_flag
20,ASICSamerica_1615215353,2021-03-08,"🌟 International Women’s Day 🌟
We're spending the day celebrating the women in our lives who inspire us every day.
Tag a woman/women in your life that you want to celebrate in the comments below. ⬇️",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/p720x720/158199189_3966922683360412_1163295515030461476_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=KBczAwbsU1AAX_H7MYf&_nc_ht=scontent-iad3-1.xx&tp=6&oh=e55e18f142e6c448be47ba3d71b0aba1&oe=60DC6774'],Yes,,No,[],No
21,ASICSamerica_1614862802,2021-03-04,"""Just run. Block out everything & attack each barrier one hurdle at a time."" - Payton Chadwick, ASICS Elite Athlete",https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/150075143_886709128780377_2073975875526495771_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=f2c4d5&_nc_ohc=CPQ5e9i9FUEAX84LinE&_nc_ht=scontent-iad3-1.xx&oh=592dffaa975abf31c0fd3d2c1e98ec2e&oe=60BC0756,Yes,https://www.facebook.com/ASICSamerica/videos/886708555447101/?t=0,Yes,[],No
22,ASICSamerica_1614556800,2021-02-28,"“Everybody goes through adversity, everybody goes through challenges, everybody goes through hardships, but what do you do about it?” - Kiara Parker, ASICS Elite Athlete",https://scontent-iad3-1.xx.fbcdn.net/v/t15.5256-10/151028181_243216790866433_8623839997694231177_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=f2c4d5&_nc_ohc=R3W1ZAQHC_YAX_mMFKa&_nc_ht=scontent-iad3-1.xx&oh=f64688d4450b008728324f12b054a527&oe=60BCA0A6,Yes,https://www.facebook.com/ASICSamerica/videos/243215880866524/?t=0,Yes,[],No
23,ASICSamerica_1614434411,2021-02-27,Happy 10th Anniversary to our GT-1000™ sneaker. 💙,https://external-iad3-1.xx.fbcdn.net/safe_image.php?d=AQEe8TFEP1QXF-Pa&w=600&h=600&url=https%3A%2F%2Fsprcdn-assets.sprinklr.com%2F1171%2F6200aa62-c888-47d5-b3da-dfd96d7767aa-201498342%2Fresized-preview.png&cfs=1&ccb=3-5&_nc_hash=AQFsDFcO0JKQ3La9,Yes,,No,[],No
24,ASICSamerica_1612892426,2021-02-09,How much faster will you go? The updated EVORIDE™ 2 shoe is more lightweight than before for runs that feel effortless. https://asics.tv/3tGdjIY,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p180x540/148862152_3890423927676955_5007074482228746981_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=2d5d41&_nc_ohc=Eyq2YIq9YvkAX841sT1&_nc_ht=scontent-iad3-1.xx&tp=6&oh=588064f6c267fe2767d8103db0f637f5&oe=60DE7E30'],Yes,,No,"['https://www.facebook.com/commerce/products/3609843079050756/', 'https://www.facebook.com/commerce/products/4103285646381616/']",Yes
25,ASICSamerica_1611095692,2021-01-19,,https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/139724861_3834520043267344_367922703293764548_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=85a577&_nc_ohc=OxWxFAZMMmQAX8NaON6&_nc_ht=scontent-iad3-1.xx&oh=3dd271fa7ca26370a6676caac647737e&oe=60DD7F4B,Yes,,No,[],No
26,ASICSamerica_1610552533,2021-01-13,"Over 70 years ago in 1940s Japan, Kihachiro Onitsuka founded ASICS with the belief that sport has the power to bring hope and lift spirits. This is what guides us.
Fast forward to 2021, our founding Sound Mind, Sound Body™ philosophy is perhaps more relevant than ever before, which is why we are returning to our roots, and making a Sound Mind, Sound Body™ lifestyle the core of everything we do.
Our ask of you is simple. We encourage you to get out and move your mind and body. Whether a walk, run, or workout, we look forward to supporting your moves sunrise to sunset. https://asics.tv/2LsKkqR",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/p720x720/138805949_3817858231600192_1253386898228412135_n.jpg?_nc_cat=103&ccb=1-3&_nc_sid=8024bb&_nc_ohc=o0ilVnQhRV4AX_iWjye&_nc_ht=scontent-iad3-1.xx&tp=6&oh=b4d8957d880b7774d88bcdb3c57a6b23&oe=60DBB3C3'],Yes,,No,[],No
27,ASICSamerica_1610547525,2021-01-13,"Sound Mind, Sound Body™. https://asics.tv/2LsKkqR",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/139031073_3817427374976611_7957361971700792349_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=dd9801&_nc_ohc=pBmvjc2M7q0AX-eqyAf&_nc_ht=scontent-iad3-1.xx&oh=b8c4f8679992a32c6f324827f549b387&oe=60DDF196'],Yes,,No,[],No
28,ASICSamerica_1609609761,2021-01-02,"On New Year's Day we welcomed a new bundle of joy to the family.
We’d like to introduce you to our GEL-NIMBUS Lite 2 sneaker – the lighter, FLYTEFOAM® tech filled, younger brother of our GEL-NIMBUS® shoe. https://asics.tv/3oaSDpj",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/p720x720/134706478_3789445777774771_124474735554571104_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=8024bb&_nc_ohc=7mguFn8GQMQAX_GZBZg&_nc_ht=scontent-iad3-1.xx&tp=6&oh=8853df1a2669e6978b537e872e80ec14&oe=60DBDCA5'],Yes,,No,[],No
29,ASICSamerica_1609510379,2021-01-01,"Cheers to more miles, faster speeds, and more races in 2021. Happy New Year!🥂",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/134428492_3786633324722683_1187634312335760472_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=110474&_nc_ohc=7iCoAJaTGksAX9Z7sKX&_nc_ht=scontent-iad3-1.xx&oh=3e618d6de708f3a682034bef4537c4e2&oe=60DBE8ED'],Yes,,No,[],No
