,id,time,text,image_link,image_flag,video_link,video_flag,products,product_flag
20,SKECHERS_1617395335,2021-04-02,"🚨 Calling All Junior Golfers! 🚨 Want to meet Elite golfer Brooke Henderson ?
Here’s how: https://www.skechers.com/m/meet-elite
1). Tell us why!...

See More",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/s640x640/167244480_10157538622847587_9152729034582428301_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=8024bb&_nc_ohc=MdQmqNslgwcAX8Y8zHC&_nc_ht=scontent-iad3-1.xx&tp=7&oh=2a2846402427ab695a02efe038b22d7c&oe=60DB5959'],Yes,,No,[],No
21,SKECHERS_1617385121,2021-04-02,"Never feel blue, these shoes are perfect for you! Horton the Elephant makes his debut! 💙❤️📚 #SkechersxDrSeuss #HortonTheElephant #SeussStories #DrSeuss","['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p261x260/168651360_10157538331332587_3185031266360370296_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=e4MgBiFFz5cAX9DRAsr&_nc_ht=scontent-iad3-1.xx&tp=6&oh=ad5ab89522bca942ef4a408f6b4b6ea3&oe=60DDE958', 'https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p261x260/168204285_10157538331337587_1049352004130976162_n.jpg?_nc_cat=107&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=LK84w-ILuB8AX_5eFbb&_nc_ht=scontent-iad3-1.xx&tp=6&oh=fc9332a4ca579b8793c84df52be2ac2b&oe=60DD193C']",Yes,,No,['https://www.facebook.com/commerce/products/4273329422679203/'],Yes
22,SKECHERS_1617304518,2021-04-01,@brookeburke sitting pretty as a 🌈! #Skechers #springvibes # #BrookeBurke #SkechersStyle,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/167436795_10157536487607587_116674029312603035_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=TSYndCGydjQAX85h-zd&_nc_ht=scontent-iad3-1.xx&tp=6&oh=d935cc277d6ab98b8bf8da118e50f9a3&oe=60DC58EE'],Yes,,No,['https://www.facebook.com/commerce/products/3527241057395229/'],Yes
23,SKECHERS_1617222636,2021-03-31,"Equal parts classic and colorful, these psychedelic styles will give any outfit an unexpected POP! 🖤🌈✌🏻👟 #Skechers #PUNKROSE #fashion #cool #style #streetstyle #tiedye #SkechersStyle",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/166649183_10157534691347587_483196947352793973_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=urs7BApbk6IAX9H1FKJ&_nc_ht=scontent-iad3-1.xx&tp=6&oh=88087afa2177a6524ca896bb30870410&oe=60DC42F1'],Yes,,No,['https://www.facebook.com/commerce/products/5839378379421422/'],Yes
24,SKECHERS_1617215634,2021-03-31,"Equal parts classic and colorful, these psychedelic styles will give any outfit an unexpected POP! 🖤🌈✌🏻👟 #Skechers #PUNKROSE #cool #style #SkechersStyle",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/165294446_10157534474872587_1292487970055357475_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=a1NCceOhJ0QAX9O9zdl&_nc_ht=scontent-iad3-1.xx&tp=6&oh=dbe6207f7d294776916e6d9c3db65955&oe=60DDFE2D'],Yes,,No,['https://www.facebook.com/commerce/products/5839378379421422/'],Yes
25,SKECHERS_1617124504,2021-03-30,Styles built for speed 💯👟 #Skechers #speed #run #style # #mensstyle #mensshoes #SkechersStyle,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/165752640_10157532435992587_3604861539900782291_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=WGDweqOnF3gAX9irjH3&_nc_ht=scontent-iad3-1.xx&tp=6&oh=ed82403a8aa341992544008c65e68d27&oe=60DC10A5'],Yes,,No,[],No
26,SKECHERS_1617035744,2021-03-29,Monday to Friday - sorted! 😍💁🏽👟 #Skechers #womens #fashion #comfort #SkechersStyle,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-9/s851x315/166197440_10157530474692587_2161574676856069652_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=I0qkGj6o33YAX_2BGjU&_nc_ht=scontent-iad3-1.xx&tp=7&oh=f2f710ced4dbf46c1548f0c6484d0306&oe=60DC4C08'],Yes,,No,"['https://www.facebook.com/commerce/products/5312848108733004/', 'https://www.facebook.com/commerce/products/3069294713108887/']",Yes
27,SKECHERS_1616950883,2021-03-28,"GIVEAWAY 💰 It's time for a RED hot giveaway! 🔥❤️ For your chance to WIN a $100 gift card, enter now by following the steps below! Good luck!
https://www.instagram.com/p/CM7gsAQMrUp/...

See More",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/163187319_10157528456092587_6817109235645916384_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=Q7lp_-O8uTUAX8ukotZ&_nc_ht=scontent-iad3-1.xx&tp=6&oh=d3842aeadc3badde7329de55f6d702ff&oe=60DCFED3'],Yes,,No,[],No
28,SKECHERS_1616864586,2021-03-27,"GIVEAWAY 💰 Ready, Set, WIN! 💰🎉 For your chance to WIN a $100 gift card, enter now by following the steps below! Good luck!
Enter contest by visiting our Instagram post below:
https://www.instagram.com/p/CM7gsAQMrUp/...

See More",['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/164025325_10157526402487587_712746190204994987_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=2lRwm4HvMq4AX_zJi66&_nc_ht=scontent-iad3-1.xx&tp=6&oh=dd4278ffe2ae40056b3134a4787f1604&oe=60DDFCAA'],Yes,,No,[],No
29,SKECHERS_1616786352,2021-03-26,Street smart styles he'll love 👞👖 #MarkNasonLosAngeles #MarkNason #mens #sleek #style #fashion,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p526x296/164771928_10157524522687587_6437977263077593525_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=X1JbKe0d2ysAX-X7nuQ&_nc_ht=scontent-iad3-1.xx&tp=6&oh=59c780da74cfc345372550dd95732d31&oe=60DC7D07'],Yes,,No,['https://www.facebook.com/commerce/products/5193622554044454/'],Yes
30,SKECHERS_1616691600,2021-03-25,Take off on the right foot 🙌🏻🏃🏻‍♀️👟 #Skechers #womens #sporty #style #SkechersStyle,['https://scontent-iad3-1.xx.fbcdn.net/v/t1.6435-0/p403x403/163361326_10157522143087587_2262923959557755547_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=9e2e56&_nc_ohc=cP_v_ffxSd4AX8iXTcC&_nc_ht=scontent-iad3-1.xx&tp=6&oh=f3eb98bd5c2528b23b0adeec51bc23fd&oe=60DCEE11'],Yes,,No,['https://www.facebook.com/commerce/products/3587587008034817/'],Yes
